# Plummer sphere, M=1, a=1, virial equilibrium; seed=20260821
# x y z vx vy vz mass
-0.677325092 5.8560049 2.06820019 -0.172701098 0.105861824 -0.11320572 0.000244140625
1.83160112 0.319564871 -0.717751402 0.210068112 -0.484517107 -0.308297332 0.000244140625
-2.07987365 1.08761305 -0.543869276 0.238217739 -0.384327408 -0.00116683927 0.000244140625
-0.774230641 -0.641415682 -0.901249311 -0.449960817 0.21207184 0.166272706 0.000244140625
1.46631257 -0.83125273 0.0212319784 0.0790749574 0.00124926796 -0.200605951 0.000244140625
-0.119432153 0.160343 -0.0630393892 -0.0297232982 -0.209028997 0.151009261 0.000244140625
-0.958443864 -0.488500274 -0.207159163 -0.49847537 0.247573108 0.189539777 0.000244140625
1.26189516 -1.0512245 0.0748542591 -0.0969683853 0.0801629773 0.643657964 0.000244140625
-0.689491858 -0.56078339 0.327161641 -0.33012673 -0.183459577 0.516589161 0.000244140625
1.25511062 1.06065764 -0.329852432 -0.376343336 0.406994504 -0.151815773 0.000244140625
0.0402501426 -0.127000956 -3.10425467 0.0615152158 0.284987717 -0.0578607549 0.000244140625
-0.504982348 0.173970403 -0.207032941 -0.486832897 0.398143767 0.522830809 0.000244140625
1.76438315 0.385955242 0.806056642 -0.48023601 -0.146196369 0.00574793061 0.000244140625
0.285326793 -1.71893294 0.275512787 -0.313937643 0.231803471 -0.042659583 0.000244140625
-0.329399193 0.0141205481 0.517990932 -0.611651644 0.147748455 -0.398875986 0.000244140625
-1.59959869 0.121469734 -0.40928464 0.00894614402 -0.44816002 -0.140489219 0.000244140625
-0.422988534 0.262383468 0.800177249 -0.822125936 0.00869861249 -0.410910338 0.000244140625
-0.825215449 1.57781281 1.0160369 0.478099257 0.184823232 -0.159326074 0.000244140625
0.566878179 -0.372693231 0.134561983 0.402954914 0.361579505 0.487303918 0.000244140625
0.290210647 -0.591741546 0.199561488 0.176528069 0.465087465 0.363878295 0.000244140625
-1.31411633 0.370707119 -0.235232701 -0.21234734 0.597850787 -0.167965613 0.000244140625
-0.0765767001 0.0415989632 0.35547224 -0.00792068226 -0.131439692 0.0756886373 0.000244140625
